k,gain
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
19,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
20,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
21,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
22,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
23,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
24,4.643856189774724
