k,gain,policy_samples,true_goal_in_possible
2,0.7369655941662057,2,True
2,0.7369655941662057,3,True
2,0.7369655941662057,4,True
2,0.7369655941662057,5,True
2,0.7369655941662057,6,True
2,0.7369655941662057,7,True
2,0.7369655941662057,8,True
2,0.7369655941662057,9,True
2,0.7369655941662057,10,True
2,0.7369655941662057,11,True
2,0.7369655941662057,12,True
2,0.7369655941662057,13,True
2,0.7369655941662057,14,True
2,0.7369655941662057,15,True
2,0.7369655941662057,16,True
2,0.7369655941662057,17,True
2,0.7369655941662057,18,True
2,0.7369655941662057,19,True
2,0.7369655941662057,20,True
2,0.7369655941662057,21,True
2,0.7369655941662057,22,True
2,0.7369655941662057,23,True
2,0.7369655941662057,24,True
2,3.6438561897747244,0,False
2,2.6438561897747244,1,False
2,2.6438561897747244,2,False
2,2.6438561897747244,3,False
2,2.6438561897747244,4,False
2,2.321928094887362,5,False
2,2.321928094887362,6,False
2,2.321928094887362,7,False
2,2.321928094887362,8,False
2,2.321928094887362,9,False
2,2.321928094887362,10,False
2,2.321928094887362,11,False
2,2.321928094887362,12,False
2,2.321928094887362,13,False
2,2.321928094887362,14,False
2,2.321928094887362,15,False
2,2.321928094887362,16,False
2,2.321928094887362,17,False
2,2.321928094887362,18,False
2,2.321928094887362,19,False
2,2.321928094887362,20,False
2,2.321928094887362,21,False
2,2.321928094887362,22,False
2,2.321928094887362,23,False
